"Wollaston Beach, Quincy: Bacterial Water Quality",,,,,,,,,,,
,,,,Milton Road,,Channing Street,,Sachem Street,,Rice Road,
"August 13, 2014",1.06,1.06,1.06,,415,,408,,231,,369
"August 12, 2014",0,0,0,,13,,20,,20,,2
"August 11, 2014",0,0,0,<,2,,2,,2,<,2
"August 10, 2014",0,0,0,,10,<,10,,10,,
"August 9, 2014",0,0,0.01,,20,,52,,84,,52
"August 8, 2014",0,0.01,0.02,,6,,4,,20,,5
"August 7, 2014",0.01,0.02,0.02,,22,,4,,21,,59
"August 6, 2014",0.01,0.01,0.01,,74,,41,,31,,41
"August 5, 2014",0,0,0,,41,<,10,,41,<,10
"August 4, 2014",0,0,0.03,,10,,10,,20,,10
"August 3, 2014",0,0.03,0.03,,41,,74,,86,,62
"August 2, 2014",0.03,0.03,0.03,,20,<,10,,52,<,10
"August 1, 2014",0,0,0,,17,<,2,,51,,20
"July 31, 2014",0,0,0,,4,,4,,2,,54
"July 30, 2014",0,0,0.11,,2,,4,,2,<,2
"July 29, 2014",0,0.11,0.46,,2,,2,,10,<,2
"July 28, 2014",0.11,0.46,0.46,,35,<,2,,2,<,2
"July 27, 2014",0.35,0.35,0.35,<,10,,10,<,10,,10
"July 26, 2014",0,0,0,<,10,,10,<,10,,10
"July 25, 2014",0,0,0,,4,,2,,8,<,2
"July 24, 2014",0,0,0,<,2,<,2,,7,<,2
"July 23, 2014",0,0,0,<,10,<,10,<,10,,10
"July 22, 2014",0,0,0,<,10,,20,<,10,,10
"July 21, 2014",0,0,0,,52,,161,,74,<,10
"July 20, 2014",0,0,0,,84,,52,,41,,20
"July 19, 2014",0,0,0,<,10,<,10,,10,<,10
"July 18, 2014",0,0,0.85,,2,,18,,615,<,2
"July 17, 2014",0,0.85,0.85,,8,,18,,64,,62
"July 16, 2014",0.85,0.85,1.52,,30,,10,<,10,<,10
"July 15, 2014",0,0.67,0.67,,59,,8,<,2,,2
"July 14, 2014",0.67,0.67,0.67,<,2,,2,,2,<,2
"July 13, 2014",0,0,0,<,2,,2,<,2,<,2
"July 12, 2014",0,0,0,,20,<,10,<,10,<,10
"July 11, 2014",0,0,0,<,2,,48,,27,<,2
"July 10, 2014",0,0,0,,6,,8,,2,,4
"July 9, 2014",0,0,0.08,,10,<,10,<,10,<,10
"July 8, 2014",0,0.08,0.08,,10,,63,<,10,<,10
"July 7, 2014",0.08,0.08,0.43,,10,<,10,<,10,<,10
"July 6, 2014",0,0.35,2.23,,10,,30,,10,,52
"July 5, 2014",0.35,2.23,2.51,,30,,122,,393,,233
"July 2, 2014",0,0,0,<,2,,4,<,2,,6
"July 1, 2014",0,0,0,,10,<,10,,10,<,10
"June 30, 2014",0,0,0,<,2,<,2,<,2,,2
"June 29, 2014",0,0,0,,2,,2,<,2,<,2
"June 28, 2014",0,0,0.28,<,2,,2,,2,,2
"June 27, 2014",0,0.28,0.28,,10,,12,,14,,2
"June 26, 2014",0.28,0.28,0.28,,12,,73,,285,<,2
"June 25, 2014",0,0,0,<,10,<,10,<,10,<,10
"June 24, 2014",0,0,0,<,10,<,10,<,10,,31
"June 23, 2014",0,0,0,<,10,<,10,,20,<,10
"June 22, 2014",0,0,0,<,10,<,10,<,10,<,10
"June 21, 2014",0,0,0,<,10,<,10,,512,<,10
"June 20, 2014",0,0,0,<,2,<,2,<,2,,8
"June 19, 2014",0,0,0.02,,28,<,2,,5,,6
"June 17, 2014",0.02,0.02,0.02,,,<,2,<,2,,
"June 16, 2014",0,0,0.01,,,,16,,,,
"June 14, 2014",0.01,0.55,0.55,,68,,152,,65,,16
"June 12, 2014",0,0,0.85,,15,,95,,15,<,2
"June 6, 2014",0,0.78,0.92,,2,,71,,44,,18
"June 5, 2014",0.78,0.92,0.92,,2,,22,,52,,6
"May 29, 2014",0,0.08,0.56,,37,,60,,18,<,2
"May 22, 2014",0.25,0.25,0.25,,2,,2,<,2,<,2
"August 30, 2013",0,0,0,,18,,35,,13,,4
"August 29, 2013",0,0,0.01,,62,,157,,7,,21
"August 28, 2013",0,0.01,0.02,,10,,41,<,10,<,10
"August 27, 2013",0.01,0.02,0.02,<,10,<,10,,20,<,10
"August 26, 2013",0.01,0.01,0.01,,41,,613,,63,,98
"August 25, 2013",0,0,0,,33,,6,<,2,,15
"August 24, 2013",0,0,0,,8,,6,,42,<,2
"August 23, 2013",0,0,0,,6,,18,,57,,8
"August 22, 2013",0,0,0,,4,,44,,2,<,2
"August 21, 2013",0,0,0,,22,,27,,129,,2
"August 20, 2013",0,0,0,,10,,41,,20,<,10
"August 19, 2013",0,0,0,,10,,20,<,10,<,10
"August 18, 2013",0,0,0,<,10,<,10,,30,,10
"August 17, 2013",0,0,0,,10,,98,,10,,20
"August 16, 2013",0,0,0,,6,<,2,,2,,2
"August 15, 2013",0,0,0,,4,,25,<,2,<,2
"August 14, 2013",0,0,0,,30,,52,,31,,63
"August 13, 2013",0,0,0,<,10,,31,,52,,10
"August 12, 2013",0,0,0,,2,,135,,60,,8
"August 11, 2013",0,0,1.62,,2,,12,<,2,<,2
"August 10, 2013",0,1.62,1.69,,8,,12,,4,<,2
"August 9, 2013",1.62,1.69,1.69,,25,,46,,22,,4
"August 8, 2013",0.07,0.07,0.07,,40,,331,,75,,14
"August 7, 2013",0,0,0,,4,,6,<,2,,2
"August 6, 2013",0,0,0,<,10,,63,,10,,20
"August 5, 2013",0,0,0,,10,,41,<,10,,10
"August 4, 2013",0,0,0.13,<,10,,52,,10,<,10
"August 3, 2013",0,0.13,0.13,,31,,10,,20,<,10
"August 2, 2013",0.13,0.13,0.13,,56,,43,,10,,8
"August 1, 2013",0,0,0,,4,,10,,12,<,2
"July 31, 2013",0,0,0.33,<,10,,20,<,10,<,10
"July 30, 2013",0,0.33,0.34,<,10,<,10,,30,,63
"July 29, 2013",0.33,0.34,0.34,,51,,31,,987,,20
"July 28, 2013",0.01,0.01,1.01,,52,,173,,10,,20
"July 27, 2013",0,1,1.27,,30,,84,,52,,20
"July 26, 2013",1,1.27,1.27,,1070,,580,,2470,,462
"July 25, 2013",0.27,0.27,2.03,,89,,215,,331,,95
"July 24, 2013",0,1.76,1.76,,2,,16,,15,,87
"July 23, 2013",1.76,1.76,1.77,,75,,8,,13,,124
"July 22, 2013",0,0.01,0.01,<,10,,52,<,10,,20
"July 21, 2013",0.01,0.01,0.01,,10,<,10,,41,,20
"July 20, 2013",0,0,0,<,10,<,10,,10,,20
"July 19, 2013",0,0,0,,17,,16,,7,,7
"July 18, 2013",0,0,0.01,,2,<,2,,18,,2
"July 17, 2013",0,0.01,0.01,,41,,31,,10,,10
"July 16, 2013",0.01,0.01,0.01,,20,,20,,20,,10
"July 15, 2013",0,0,0,,10,,20,,121,<,10
"July 14, 2013",0,0,0,,146,,10,,30,,10
"July 13, 2013",0,0,0.17,,32,,46,,5,,10
"July 12, 2013",0,0.17,0.18,,59,,508,,30,,12
"July 11, 2013",0.17,0.18,0.18,,7,,14,<,2,<,2
"July 10, 2013",0.01,0.01,0.02,,8,,44,,2,,2
"July 9, 2013",0,0.01,0.01,,208,,400,,48,,10
"July 8, 2013",0.01,0.01,0.01,,2,,4,<,2,,20
"July 7, 2013",0,0,0,<,10,,10,<,10,,20
"July 6, 2013",0,0,0,<,10,<,10,<,10,,97
"July 5, 2013",0,0,0,<,2,,8,,2,<,2
"July 3, 2013",0,0,0.03,,82,,76,,7,,5
"July 2, 2013",0,0.03,0.14,,10,,15,<,2,,2
"July 1, 2013",0.03,0.14,0.21,<,10,,10,,10,<,10
"June 30, 2013",0.11,0.18,0.63,,10,,10,,10,,10
"June 29, 2013",0.07,0.52,0.55,,31,,10,,20,<,10
"June 28, 2013",0.45,0.48,0.52,>,2600,>,2600,,185,,62
"June 27, 2013",0.03,0.07,0.07,,113,,500,,63,,44
"June 26, 2013",0.04,0.04,0.37,,111,,231,,12,,51
"June 25, 2013",0,0.33,0.33,<,2,,4,<,2,,2
"June 24, 2013",0.33,0.33,0.33,,4,,4,,2,,22
"June 23, 2013",0,0,0,,20,<,10,<,10,<,10
"June 22, 2013",0,0,0,<,10,,41,,10,<,10
"June 21, 2013",0,0,0,<,2,<,2,,2,<,2
"June 20, 2013",0,0,0.63,,29,,4,,2,<,2
"June 19, 2013",0,0.63,1.06,,33,,377,,423,,515
"June 15, 2013",0,1.02,1.74,,15,,32,,97,,6
"June 14, 2013",1.02,1.74,1.81,,1630,,2230,,2300,,16
"June 13, 2013",0.72,0.79,2.17,,18,,4,,4,,8
"June 9, 2013",0,0.54,3.61,,4,,13,,2,,2
"June 8, 2013",0.54,3.61,3.63,,508,,200,,162,,423
"June 6, 2013",0.02,0.02,0.02,,4,,67,,8,<,2
"June 4, 2013",0,0.71,0.71,,6,,2,,4,,4
"May 30, 2013",0,0.84,0.84,,2,,2,,4,,8
"May 23, 2013",0.05,0.1,0.11,,113,,110,,32,,2
"August 31, 2012",0,0,0,,2,,10,,15,,2
"August 30, 2012",0,0,0.15,<,2,,25,,2,<,2
"August 29, 2012",0,0.15,0.15,,10,,31,,10,,20
"August 28, 2012",0.15,0.15,0.15,<,10,,10,,318,<,10
"August 27, 2012",0,0,0,<,10,,20,<,10,<,10
"August 26, 2012",0,0,0,<,10,,20,,10,<,10
"August 25, 2012",0,0,0,,20,,41,<,10,,31
"August 24, 2012",0,0,0,,6,,10,<,2,<,2
"August 23, 2012",0,0,0,,2,,16,,4,<,2
"August 22, 2012",0,0,0,,10,,41,,20,<,10
"August 21, 2012",0,0,0,,20,,52,,30,<,10
"August 20, 2012",0,0,0.04,<,10,,74,,10,<,10
"August 19, 2012",0,0.04,0.04,,2,,2,,8,,10
"August 18, 2012",0.04,0.04,0.04,,12,,17,,59,,15
"August 17, 2012",0,0,0.83,,12,,17,,17,,4
"August 16, 2012",0,0.83,0.83,,40,,146,,331,,20
"August 15, 2012",0.83,0.83,0.83,,10,,52,<,10,,20
"August 14, 2012",0,0,0.01,<,10,,10,,41,<,10
"August 13, 2012",0,0.01,0.01,,20,,10,,10,,20
"August 12, 2012",0.01,0.01,1.18,,10,,10,<,10,<,10
"August 11, 2012",0,1.17,1.17,,97,,119,,10,,583
"August 10, 2012",1.17,1.17,1.17,,30,,22,,60,,63
"August 9, 2012",0,0,0,,6,,62,,10,,10
"August 8, 2012",0,0,0,,20,,20,,10,<,10
"August 7, 2012",0,0,0.08,<,10,,31,,10,<,10
"August 6, 2012",0,0.08,0.08,,20,<,10,,10,<,10
"August 5, 2012",0.08,0.08,0.08,<,10,,134,,10,<,10
"August 4, 2012",0,0,0,,10,,187,,20,,20
"August 3, 2012",0,0,0.8,,6,,6,,28,<,2
"August 2, 2012",0,0.8,1.28,,84,,30,,92,,6
"August 1, 2012",0.8,1.28,1.28,,10,,85,,15,,23
"July 31, 2012",0.48,0.48,0.48,,41,,74,,20,<,10
"July 30, 2012",0,0,0.87,,63,,10,,41,,20
"July 29, 2012",0,0.87,0.89,,373,,657,,1270,,419
"July 28, 2012",0.87,0.89,0.89,<,10,,63,,41,<,10
"July 27, 2012",0.02,0.02,0.02,,13,,10,,192,<,2
"July 26, 2012",0,0,0.55,,8,,15,,12,,12
"July 25, 2012",0,0.55,0.57,,135,<,10,,10,,10
"July 24, 2012",0.55,0.57,0.57,<,10,<,10,<,10,<,10
"July 23, 2012",0.02,0.02,0.02,,10,,10,<,10,<,10
"July 22, 2012",0,0,0,,20,,496,,63,,10
"July 21, 2012",0,0,0.06,,4,,84,,32,<,2
"July 20, 2012",0,0.06,1.8,,12,,140,,8,,2
"July 19, 2012",0.06,1.8,1.8,,59,,1270,,223,,8
"July 18, 2012",1.74,1.74,1.74,,10,,12,,8,<,2
"July 17, 2012",0,0,0,,2,,8,<,2,,2
"July 16, 2012",0,0,0,<,10,<,10,,10,<,10
"July 15, 2012",0,0,0,,41,,10,<,10,,10
"July 14, 2012",0,0,0,,41,,20,,20,<,10
"July 13, 2012",0,0,0,,4,<,2,<,2,<,2
"July 12, 2012",0,0,0,<,2,<,2,<,2,<,2
"July 11, 2012",0,0,0,<,10,<,10,<,10,,10
"July 10, 2012",0,0,0,<,10,,10,<,10,<,10
"July 9, 2012",0,0,0,<,10,<,10,<,10,,110
"July 8, 2012",0,0,0,,10,<,10,<,10,,10
"July 7, 2012",0,0,0,<,10,<,10,<,10,<,10
"July 6, 2012",0,0,0.14,<,2,<,2,<,2,<,2
"July 5, 2012",0,0.14,0.14,,2,,35,,32,<,2
"July 4, 2012",0.14,0.14,0.14,,2,,4,,2,<,2
"July 3, 2012",0,0,0,,2,,4,,5,,23
"July 2, 2012",0,0,0,,12,,8,,6,,2
"July 1, 2012",0,0,0.05,,10,,10,,20,<,10
"June 30, 2012",0,0.05,0.05,,20,,31,,30,,10
"June 29, 2012",0.05,0.05,0.05,,4,,4,,21,<,2
"June 28, 2012",0,0,0.06,<,2,,151,,6,,2
"June 27, 2012",0,0.06,0.99,,62,<,10,,20,,74
"June 26, 2012",0.06,0.99,0.99,,52,,41,,74,,299
"June 25, 2012",0.93,0.93,2.12,,31,,63,,30,,20
"June 24, 2012",0,1.19,1.21,,20,,10,,84,,62
"June 23, 2012",1.19,1.21,1.21,,20,,20,,74,,10
"June 22, 2012",0.02,0.02,0.02,,4,,6,,12,<,2
"June 21, 2012",0,0,0,,6,,4,,18,,2
"June 16, 2012",0,0,0,,,,24,,,,
"June 14, 2012",0,0.7,0.71,,78,,262,,4,<,2
"June 9, 2012",0,0.31,0.35,,,,14,,55,,
"June 7, 2012",0.04,0.04,0.17,,52,,71,,42,,2
"May 31, 2012",0,0,0.17,,4,,4,,8,<,2
"May 24, 2012",0,0,0.58,<,2,,13,,2,<,2
"September 4, 2011",0,0,0,,31,,10,,20,<,10
"September 3, 2011",0,0,0,,52,,73,,201,,74
"September 2, 2011",0,0,0,,13,,12,,8,,18
"September 1, 2011",0,0,0,,12,,22,,10,,2
"August 31, 2011",0,0,0,,8160,,10,,10,<,10
"August 30, 2011",0,0,0.91,,20,<,10,<,10,,41
"August 29, 2011",0,0.91,1.68,,20,<,10,<,10,<,10
"August 27, 2011",0.77,0.8,0.86,,52,,20,<,10,<,10
"August 26, 2011",0.03,0.09,0.09,,65,,44,,2,,7
"August 25, 2011",0.06,0.06,0.06,,12,,12,,2,,4
"August 24, 2011",0,0,0.59,<,10,<,10,<,10,<,10
"August 23, 2011",0,0.59,0.59,<,10,,10,,10,<,10
"August 22, 2011",0.59,0.59,0.59,,10,,262,,10,,41
"August 21, 2011",0,0,0.03,,20,,10,,20,,20
"August 20, 2011",0,0.03,0.03,<,10,,20,,10,<,10
"August 19, 2011",0.03,0.03,0.03,,2,<,2,,2,<,2
"August 18, 2011",0,0,0.01,,113,,71,,15,,6
"August 17, 2011",0,0.01,1.44,<,10,,30,<,10,<,10
"August 16, 2011",0.01,1.44,1.46,,86,,86,,481,,85
"August 15, 2011",1.43,1.45,1.45,,836,,581,,10,,41
"August 14, 2011",0.02,0.02,0.02,,10,<,10,,41,,20
"August 13, 2011",0,0,0,<,10,<,10,<,10,,10
"August 12, 2011",0,0,0.73,,17,,27,,6,,2
"August 11, 2011",0,0.73,1.94,,28,,20,,28,,12
"August 10, 2011",0.73,1.94,2.23,,8160,,9800,>,24200,>,24200
"August 9, 2011",1.21,1.5,2.56,,122,,98,,218,,199
"August 8, 2011",0.29,1.35,1.35,,63,,63,,131,,98
"August 7, 2011",1.06,1.06,1.06,<,10,<,10,<,10,,10
"August 6, 2011",0,0,0,<,10,,10,,20,<,10
"August 5, 2011",0,0,0,,15,,27,<,2,,8
"August 4, 2011",0,0,0.6,,70,,52,,41,,17
"August 3, 2011",0,0.6,0.6,,62,,63,,20,,52
"August 2, 2011",0.6,0.6,0.6,<,10,<,10,<,10,,20
"August 1, 2011",0,0,0,,63,,20,,20,<,10
"July 31, 2011",0,0,0.14,<,10,<,10,,31,<,10
"July 30, 2011",0,0.14,0.14,,10,<,10,<,10,<,10
"July 29, 2011",0.14,0.14,0.14,,15,,25,,12,,190
"July 28, 2011",0,0,0.01,,15,,12,,2,,30
"July 27, 2011",0,0.01,0.16,,41,,20,<,10,,10
"July 26, 2011",0.01,0.16,0.18,,63,,20,,31,,30
"July 25, 2011",0.15,0.17,0.28,,97,,20,<,10,,41
"July 24, 2011",0.02,0.13,0.13,<,10,,20,,20,<,10
"July 23, 2011",0.11,0.11,0.11,,31,,52,,10,<,10
"July 22, 2011",0,0,0,,6,,2,<,2,,2
"July 21, 2011",0,0,0,,4,,4,,22,,2
"July 20, 2011",0,0,0,,20,,20,,20,,51
"July 19, 2011",0,0,0,,10,,31,<,10,<,10
"July 18, 2011",0,0,0,<,10,,20,,52,,10
"July 17, 2011",0,0,0,<,10,,109,<,10,,10
"July 16, 2011",0,0,0.72,,41,,20,,31,<,10
"July 15, 2011",0,0.72,1.17,,75,,62,,27,,76
"July 14, 2011",0.72,1.17,1.17,,269,,262,,108,,83
"July 13, 2011",0.45,0.45,0.45,<,10,<,10,,41,<,10
"July 12, 2011",0,0,0,<,10,,20,<,10,,10
"July 11, 2011",0,0,0.12,,20,,10,,30,,20
"July 10, 2011",0,0.12,0.41,<,10,<,10,,61,,52
"July 9, 2011",0.12,0.41,0.41,,41,,74,,211,,160
"July 8, 2011",0.29,0.29,0.29,,8,,2700,,2,,10
"July 7, 2011",0,0,0,<,2,,59,,2,<,2
"July 6, 2011",0,0,0,,20,,63,,74,<,10
"July 5, 2011",0,0,0.03,,52,<,10,,160,,10
"July 4, 2011",0,0.03,0.03,<,10,<,10,<,10,<,10
"July 3, 2011",0.03,0.03,0.03,,10,<,10,,10,<,10
"July 2, 2011",0,0,0,<,10,,30,<,10,,10
"July 1, 2011",0,0,0.18,,12,,27,,2,,8
"June 30, 2011",0,0.18,0.18,<,2,,8,,4,,4
"June 29, 2011",0.18,0.18,0.18,,10,,10,<,10,,30
"June 28, 2011",0,0,0,,31,,10,,20,<,10
"June 27, 2011",0,0,0.27,,41,,41,,10,,10
"June 26, 2011",0,0.27,0.28,,158,,20,<,10,<,10
"June 25, 2011",0.27,0.28,0.45,,41,,199,,146,,52
"June 24, 2011",0.01,0.18,2,,246,,262,,48,,37
"June 23, 2011",0.17,1.99,1.99,,2000,,1600,,131,,192
"June 17, 2011",0.04,0.04,0.04,<,2,,2,,35,,4
"June 16, 2011",0,0,0.04,,4,,7,,4,,2
"June 15, 2011",0,0.04,0.09,,141,,121,,600,,52
"June 10, 2011",0,0.51,0.51,,246,,240,,430,,133
"June 9, 2011",0.51,0.51,0.51,,2,,37,,12,,62
"June 2, 2011",0,0.56,0.56,,12,,18,,6,,14
"May 26, 2011",0,0,0.17,<,2,<,2,<,2,,2
"September 5, 2010",0,0.02,0.36,,,,31,<,10,,
"September 2, 2010",0,0,0,,25,,46,,2,,46
"September 1, 2010",0,0,0,,20,,20,,127,,10
"August 31, 2010",0,0,0,,41,,41,,20,,84
"August 30, 2010",0,0,0,,10,,41,,301,,141
"August 29, 2010",0,0,0,,30,,41,<,10,,74
"August 28, 2010",0,0,0,,52,,213,,41,,30
"August 27, 2010",0,0,2.76,,91,,254,,223,,76
"August 26, 2010",0,2.76,3.54,,331,,362,,140,,91
"August 25, 2010",2.76,3.54,4.24,,3080,,19900,,7700,,538
"August 24, 2010",0.78,1.48,1.72,,97,,437,,84,,72
"August 23, 2010",0.7,0.94,0.94,,5170,,2280,,155,,120
"August 22, 2010",0.24,0.24,0.24,,41,,30,<,10,,313
"August 21, 2010",0,0,0,,10,<,10,<,10,,10
"August 20, 2010",0,0,0,,17,,13,,8,,28
"August 19, 2010",0,0,0,,10,,24,,20,,22
"August 18, 2010",0,0,0.21,,10,,85,,10,,41
"August 17, 2010",0,0.21,0.21,<,10,,10,,10,,20
"August 16, 2010",0.21,0.21,0.21,,20,,61,,272,<,10
"August 15, 2010",0,0,0,<,10,,109,,10,,20
"August 14, 2010",0,0,0,,20,,52,,31,,10
"August 13, 2010",0,0,0,,43,,29,,35,,87
"August 12, 2010",0,0,0.07,,165,,49,,33,,46
"August 11, 2010",0,0.07,0.07,,1260,,156,,41,,183
"August 10, 2010",0.07,0.07,0.07,,109,,121,,62,,10
"August 9, 2010",0,0,0,,20,,120,<,10,,30
"August 8, 2010",0,0,0,,63,,10,<,10,,10
"August 7, 2010",0,0,0.99,,52,,10,,63,,10
"August 6, 2010",0,0.99,0.99,,73,,13,,27,,10
"August 5, 2010",0.99,0.99,0.99,,35,,32,,4,,2
"August 4, 2010",0,0,0,<,10,<,10,,10,<,10
"August 3, 2010",0,0,0,,10,<,10,,10,,10
"August 2, 2010",0,0,0,,74,,10,,84,,30
"August 1, 2010",0,0,0,,1400,,10,,10,,10
"July 31, 2010",0,0,0.04,,74,,185,,41,,146
"July 30, 2010",0,0.04,0.04,,446,,12,,2,,116
"July 29, 2010",0.04,0.04,0.04,,30,,16,,8,,6
"July 28, 2010",0,0,0,,10,,10,,107,<,10
"July 27, 2010",0,0,0,<,10,,74,,52,<,10
"July 26, 2010",0,0,0,,10,,30,,20,,20
"July 25, 2010",0,0,0.49,,20,,238,<,10,,10
"July 24, 2010",0,0.49,0.49,,933,,833,,63,,20
"July 23, 2010",0.49,0.49,0.54,,2,,4,,20,,13
"July 22, 2010",0,0.05,0.05,,4,,10,,131,,27
"July 21, 2010",0.05,0.05,0.05,,10,<,10,<,10,<,10
"July 20, 2010",0,0,0,,20,<,10,,52,,20
"July 19, 2010",0,0,0,,31,,31,<,10,<,10
"July 18, 2010",0,0,0.02,,10,<,10,,10,,10
"July 17, 2010",0,0.02,0.02,,41,<,10,,41,<,10
"July 16, 2010",0.02,0.02,0.13,,105,,49,,95,,25
"July 15, 2010",0,0.11,0.15,,78,,89,,22,,6
"July 14, 2010",0.11,0.15,0.4,,41,,397,,30,,20
"July 13, 2010",0.04,0.29,0.3,,10,,10,<,10,<,10
"July 12, 2010",0.25,0.26,1.91,,457,,51,,132,,10
"July 11, 2010",0.01,1.66,1.66,,1110,,84,,644,,31
"July 10, 2010",1.65,1.65,1.65,,52,<,10,<,10,,41
"July 9, 2010",0,0,0,<,2,,2,<,2,<,2
"July 8, 2010",0,0,0,,20,,6,<,2,,4
"July 7, 2010",0,0,0,,74,,20,,52,,10
"July 6, 2010",0,0,0,,20,,41,<,10,<,10
"July 5, 2010",0,0,0,<,10,,10,,20,<,10
"July 4, 2010",0,0,0,,10,,84,,20,,20
"July 3, 2010",0,0,0,<,10,,10,,10,,31
"July 2, 2010",0,0,0,,508,,32,,25,,10
"July 1, 2010",0,0,0,,21,,6,,2,,2
"June 30, 2010",0,0,0,<,10,,41,<,10,,20
"June 29, 2010",0,0,0,,20,,30,,30,<,10
"June 28, 2010",0,0,0,,10,<,10,,10,<,10
"June 27, 2010",0,0,0,<,10,,20,,10,<,10
"June 26, 2010",0,0,0.05,,20,,63,,10,,20
"June 25, 2010",0,0.05,0.11,,440,,131,,200,,32
"June 24, 2010",0.05,0.11,0.11,,21,,4,<,2,<,2
"June 23, 2010",0.06,0.06,0.06,,145,,20,<,10,<,10
"June 22, 2010",0,0,0.16,,74,,10,,30,<,10
"June 21, 2010",0,0.16,0.16,<,10,,63,,86,,52
"June 20, 2010",0.16,0.16,0.16,,20,<,10,,10,,10
"June 19, 2010",0,0,0,,31,,63,,97,<,10
"June 18, 2010",0,0,0.02,,6,,130,,37,,2
"June 17, 2010",0,0.02,0.02,,2,,6,,2,,6
"June 12, 2010",0.18,0.18,0.28,,25,,23,,646,,14
"June 10, 2010",0.1,0.14,0.14,,323,,331,,25,,110
"June 7, 2010",0,0.71,1.42,<,2,,77,,20,,4
"June 3, 2010",0.7,0.7,1.13,,79,,4,,18,,2
"May 29, 2010",0,0,0.05,,8,<,2,,,,
"May 27, 2010",0.05,0.11,0.11,,654,,308,,2,,20
"September 5, 2009",0,0,0,,161,,10,,132,,95
"September 4, 2009",0,0,0,,30,,25,,40,,43
"September 3, 2009",0,0,0,,103,,46,,6,,75
"September 2, 2009",0,0,0,<,10,<,10,,10,,10
"September 1, 2009",0,0,0,,31,<,10,,10,<,10
"August 31, 2009",0,0,1.65,,30,<,10,,20,<,10
"August 30, 2009",0,1.65,1.74,,74,,613,,10,,20
"August 28, 2009",0.09,0.09,0.09,,87,,40,,20,,10
"August 27, 2009",0,0,0,,35,,123,,16,,27
"August 26, 2009",0,0,0.77,,41,,20,<,10,,10
"August 25, 2009",0,0.77,0.9,,20,<,10,,10,,20
"August 24, 2009",0.77,0.9,1.07,,10,,52,<,10,,31
"August 23, 2009",0.13,0.3,0.3,<,10,,20,,97,,275
"August 22, 2009",0.17,0.17,0.45,<,10,<,10,,10,<,10
"August 21, 2009",0,0.28,0.28,,57,,12,,2,,4
"August 20, 2009",0.28,0.28,0.28,,33,,57,,43,,17
"August 19, 2009",0,0,0,,20,<,10,,20,,31
"August 18, 2009",0,0,0,<,10,<,10,<,10,<,10
"August 17, 2009",0,0,0,<,10,,20,,20,,10
"August 16, 2009",0,0,0,,10,,10,<,10,<,10
"August 15, 2009",0,0,0.09,<,10,,31,<,10,<,10
"August 14, 2009",0,0.09,0.09,,2,,17,,13,,10
"August 13, 2009",0.09,0.09,0.14,,129,,1170,,28,,10
"August 12, 2009",0,0.05,0.06,,419,,1150,,520,,591
"August 11, 2009",0.05,0.06,0.06,<,10,<,10,<,10,,63
"August 10, 2009",0.01,0.01,0.01,<,10,,52,<,10,,20
"August 9, 2009",0,0,0,,52,<,10,,20,,10
"August 8, 2009",0,0,0,,20,<,10,,96,,10
"August 7, 2009",0,0,0,,4,,2,,59,,86
"August 6, 2009",0,0,0,,64,,10,<,10,,20
"August 5, 2009",0,0,0,,10,,10,<,10,<,10
"August 4, 2009",0,0,0,,74,,63,,10,,30
"August 3, 2009",0,0,0,,278,,86,,10,,52
"August 2, 2009",0,0,0.44,,10,,10,<,10,<,10
"August 1, 2009",0,0.44,0.95,<,10,,31,,10,,41
"July 31, 2009",0.44,0.95,0.95,,6,,10,,2,,4
"July 30, 2009",0.51,0.51,0.51,<,2,,4,<,2,,2
"July 29, 2009",0,0,0,,10,,10,,10,,10
"July 28, 2009",0,0,0.02,,10,,74,<,10,<,10
"July 27, 2009",0,0.02,0.02,,10,,10,,10,<,10
"July 26, 2009",0.02,0.02,1.95,,31,,20,,10,<,10
"July 25, 2009",0,1.93,2.36,,171,,74,,30,,41
"July 24, 2009",1.93,2.36,2.36,,1640,,1500,,870,,1300
"July 23, 2009",0.43,0.43,0.95,,171,,106,,14,,51
"July 22, 2009",0,0.52,0.52,,109,,288,,187,,41
"July 21, 2009",0.52,0.52,0.52,,146,,122,,41,,231
"July 20, 2009",0,0,0.24,,30,,10,,10,,30
"July 19, 2009",0,0.24,0.24,<,10,,31,,20,<,10
"July 18, 2009",0.24,0.24,0.24,,74,,1730,,691,,10
"July 17, 2009",0,0,0,<,2,<,2,,4,,6
"July 16, 2009",0,0,0,,12,<,2,,6,,4
"July 15, 2009",0,0,0,<,10,<,10,,10,,122
"July 14, 2009",0,0,0.28,<,10,<,10,,20,<,10
"July 13, 2009",0,0.28,0.64,<,10,,20,<,10,,10
"July 12, 2009",0.28,0.64,0.64,,31,,10,<,10,<,10
"July 11, 2009",0.36,0.36,0.36,,10,<,10,<,10,<,10
"July 10, 2009",0,0,0.02,,38,,4,<,2,,4
"July 9, 2009",0,0.02,0.71,,231,,27,,12,,57
"July 8, 2009",0.02,0.71,0.71,,738,,907,,31,,30
"July 7, 2009",0.69,0.69,0.69,,30,,98,,98,,74
"July 6, 2009",0,0,0,,41,,52,,20,,31
"July 5, 2009",0,0,0,<,10,,10,,20,,10
"July 4, 2009",0,0,0.85,<,10,<,10,,30,,20
"July 3, 2009",0,0.85,1.46,,21,,42,,13,,2
"July 2, 2009",0.85,1.46,1.53,,1100,,900,,600,,680
