"Constitution Beach, East Boston: Bacterial Water Quality",,,,,,,,,
,,,,North,,Middle,,South,
"July 21, 2013",0.01,0.01,0.01,,20,,20,,41
"July 20, 2013",0,0,0,,10,,20,,10
"July 19, 2013",0,0,0,<,2,,6,<,2
"July 18, 2013",0,0,0.01,,2,<,2,<,2
"July 17, 2013",0,0.01,0.01,,10,,10,,10
"July 16, 2013",0.01,0.01,0.01,,10,<,10,<,10
"July 15, 2013",0,0,0,<,10,<,10,<,10
"July 14, 2013",0,0,0,<,10,<,10,,20
"July 13, 2013",0,0,0.17,<,2,<,2,<,2
"July 12, 2013",0,0.17,0.18,,18,,33,,25
"July 11, 2013",0.17,0.18,0.18,,48,,4,,2
"July 10, 2013",0.01,0.01,0.02,<,2,<,2,<,2
"July 9, 2013",0,0.01,0.01,<,2,<,2,,2
"July 8, 2013",0.01,0.01,0.01,,37,<,2,<,2
"July 7, 2013",0,0,0,<,10,,10,,20
"July 6, 2013",0,0,0,<,10,<,10,,10
"July 5, 2013",0,0,0,<,2,,4,<,2
"July 3, 2013",0,0,0.03,,5,<,2,<,2
"July 2, 2013",0,0.03,0.14,,27,,2,<,2
"July 1, 2013",0.03,0.14,0.21,<,10,<,10,<,10
"June 30, 2013",0.11,0.18,0.63,,31,,10,<,10
"June 29, 2013",0.07,0.52,0.55,,158,,10,<,10
"June 28, 2013",0.45,0.48,0.52,,669,,8,,15
"June 27, 2013",0.03,0.07,0.07,,25,,8,,35
"June 26, 2013",0.04,0.04,0.37,,2,<,2,,4
"June 25, 2013",0,0.33,0.33,,4,,4,<,2
"June 24, 2013",0.33,0.33,0.33,,2,<,2,,2
"June 23, 2013",0,0,0,,10,,10,,20
"June 22, 2013",0,0,0,,30,<,10,,10
"June 21, 2013",0,0,0,,20,,14,<,2
"June 20, 2013",0,0,0.63,<,2,<,2,,2
"June 15, 2013",0,1.02,1.74,,21,,8,,14
"June 14, 2013",1.02,1.74,1.81,,630,,1000,,1100
"June 13, 2013",0.72,0.79,2.17,,8,,6,,12
"June 9, 2013",0,0.54,3.61,<,2,<,2,<,2
"June 8, 2013",0.54,3.61,3.63,,75,,70,,90
"June 6, 2013",0.02,0.02,0.02,,4,<,2,,4
"May 30, 2013",0,0.84,0.84,,10,<,2,,4
"May 23, 2013",0.05,0.1,0.11,<,2,,13,<,2
"August 31, 2012",0,0,0,<,2,<,2,,7
"August 30, 2012",0,0,0.15,<,2,<,2,,4
"August 29, 2012",0,0.15,0.15,,10,<,10,,20
"August 28, 2012",0.15,0.15,0.15,<,10,<,10,<,10
"August 27, 2012",0,0,0,<,10,<,10,,20
"August 26, 2012",0,0,0,<,10,,20,<,10
"August 25, 2012",0,0,0,<,10,<,10,,10
"August 24, 2012",0,0,0,<,2,,4,,4
"August 23, 2012",0,0,0,<,2,,2,<,2
"August 22, 2012",0,0,0,<,10,,20,<,10
"August 21, 2012",0,0,0,,20,,10,,10
"August 20, 2012",0,0,0.04,<,10,<,10,<,10
"August 19, 2012",0,0.04,0.04,,6,,13,,6
"August 18, 2012",0.04,0.04,0.04,,5,,8,,8
"August 17, 2012",0,0,0.83,,2,,6,,23
"August 16, 2012",0,0.83,0.83,,10,,4,,8
"August 15, 2012",0.83,0.83,0.83,,1940,,2360,,1870
"August 14, 2012",0,0,0.01,<,10,,10,<,10
"August 13, 2012",0,0.01,0.01,<,10,,10,<,10
"August 12, 2012",0.01,0.01,1.18,,63,,10,,10
"August 11, 2012",0,1.17,1.17,,565,,52,,187
"August 10, 2012",1.17,1.17,1.17,,10,,103,,6
"August 9, 2012",0,0,0,,2,<,2,<,2
"August 8, 2012",0,0,0,,295,<,10,<,10
"August 7, 2012",0,0,0.08,<,10,<,10,<,10
"August 6, 2012",0,0.08,0.08,,749,,20,,10
"August 5, 2012",0.08,0.08,0.08,,86,,20,,30
"August 4, 2012",0,0,0,,10,,10,<,10
"August 3, 2012",0,0,0.8,,10,,4,,4
"August 2, 2012",0,0.8,1.28,,12,,18,,23
"August 1, 2012",0.8,1.28,1.28,,10,,13,,15
"July 31, 2012",0.48,0.48,0.48,,10,,10,,10
"July 30, 2012",0,0,0.87,,10,<,10,<,10
"July 29, 2012",0,0.87,0.89,,10,,31,,31
"July 28, 2012",0.87,0.89,0.89,,10,<,10,<,10
"July 27, 2012",0.02,0.02,0.02,,7,,10,,8
"July 26, 2012",0,0,0.55,,14,,15,,2
"July 25, 2012",0,0.55,0.57,,471,,10,,10
"July 24, 2012",0.55,0.57,0.57,,122,,3450,<,10
"July 23, 2012",0.02,0.02,0.02,<,10,<,10,<,10
"July 22, 2012",0,0,0,,20,<,10,<,10
"July 21, 2012",0,0,0.06,<,2,<,2,,4
"July 20, 2012",0,0.06,1.8,,10,,6,,2
"July 19, 2012",0.06,1.8,1.8,,10,,15,,12
"July 18, 2012",1.74,1.74,1.74,,2,,2,<,2
"July 17, 2012",0,0,0,<,2,,2,,2
"July 16, 2012",0,0,0,<,10,,41,<,10
"July 15, 2012",0,0,0,<,10,<,10,<,10
"July 14, 2012",0,0,0,<,10,,41,<,10
"July 13, 2012",0,0,0,,2,,2,<,2
"July 12, 2012",0,0,0,,10,,22,,13
"July 11, 2012",0,0,0,,10,<,10,<,10
"July 10, 2012",0,0,0,,10,<,10,,10
"July 9, 2012",0,0,0,<,10,<,10,,20
"July 8, 2012",0,0,0,<,10,,10,<,10
"July 7, 2012",0,0,0,<,10,,41,<,10
"July 6, 2012",0,0,0.14,,4,,10,,2
"July 5, 2012",0,0.14,0.14,<,2,<,2,<,2
"July 4, 2012",0.14,0.14,0.14,,41,,40,,41
"July 3, 2012",0,0,0,,2,,2,,8
"July 2, 2012",0,0,0,,4,,2,,4
"July 1, 2012",0,0,0.05,,20,<,10,,20
"June 30, 2012",0,0.05,0.05,<,10,<,10,<,10
"June 29, 2012",0.05,0.05,0.05,,41,,44,,32
"June 28, 2012",0,0,0.06,,4,,10,,8
"June 27, 2012",0,0.06,0.99,,10,<,10,<,10
"June 26, 2012",0.06,0.99,0.99,,52,,134,,148
"June 25, 2012",0.93,0.93,2.12,,495,,31,,10
"June 24, 2012",0,1.19,1.21,,3260,,2140,,171
"June 23, 2012",1.19,1.21,1.21,,6490,,169,,20
"June 22, 2012",0.02,0.02,0.02,<,2,,135,,6
"June 21, 2012",0,0,0,<,2,,103,<,2
"June 14, 2012",0,0.7,0.71,,27,,38,,43
"June 7, 2012",0.04,0.04,0.17,,10,,6,,13
"May 31, 2012",0,0,0.17,,4,,10,,6
"May 24, 2012",0,0,0.58,<,2,<,2,,10
"September 4, 2011",0,0,0,,41,,20,,41
"September 3, 2011",0,0,0,,31,,41,<,10
"September 2, 2011",0,0,0,,20,,22,,16
"September 1, 2011",0,0,0,,2,,18,,2
"August 31, 2011",0,0,0,,10,,20,<,10
"August 30, 2011",0,0,0.91,<,10,,63,,20
"August 29, 2011",0,0.91,1.68,<,10,<,10,<,10
"August 27, 2011",0.77,0.8,0.86,<,10,,20,<,10
"August 26, 2011",0.03,0.09,0.09,,22,,15,,31
"August 25, 2011",0.06,0.06,0.06,,4,,238,<,2
"August 24, 2011",0,0,0.59,,10,,10,<,10
"August 23, 2011",0,0.59,0.59,<,10,,10,,20
"August 22, 2011",0.59,0.59,0.59,<,10,<,10,<,10
"August 21, 2011",0,0,0.03,<,10,<,10,,20
"August 20, 2011",0,0.03,0.03,,173,,145,,216
"August 19, 2011",0.03,0.03,0.03,,2,,2,<,2
"August 18, 2011",0,0,0.01,,23,,13,,43
"August 17, 2011",0,0.01,1.44,<,10,<,10,,20
"August 16, 2011",0.01,1.44,1.46,,20,,20,,30
"August 15, 2011",1.43,1.45,1.45,,31,,74,,20
"August 14, 2011",0.02,0.02,0.02,,20,,10,<,10
"August 13, 2011",0,0,0,,20,<,10,<,10
"August 12, 2011",0,0,0.73,,35,,30,,48
"August 11, 2011",0,0.73,1.94,,23,,24,,12
"August 10, 2011",0.73,1.94,2.23,,598,,1850,,1180
"August 9, 2011",1.21,1.5,2.56,<,10,,20,,10
"August 8, 2011",0.29,1.35,1.35,,41,,10,,52
"August 7, 2011",1.06,1.06,1.06,,31,,20,<,10
"August 6, 2011",0,0,0,,10,,10,,10
"August 5, 2011",0,0,0,,4,<,2,<,2
"August 4, 2011",0,0,0.6,,29,,24,,33
"August 3, 2011",0,0.6,0.6,,882,,74,,10
"August 2, 2011",0.6,0.6,0.6,<,10,<,10,<,10
"August 1, 2011",0,0,0,,20,,52,<,10
"July 31, 2011",0,0,0.14,,31,,10,<,10
"July 30, 2011",0,0.14,0.14,,20,,10,,10
"July 29, 2011",0.14,0.14,0.14,,15,,8,<,2
"July 28, 2011",0,0,0.01,,4,<,2,<,2
"July 27, 2011",0,0.01,0.16,<,10,<,10,<,10
"July 26, 2011",0.01,0.16,0.18,,10,,20,,20
"July 25, 2011",0.15,0.17,0.28,<,10,,10,<,10
"July 24, 2011",0.02,0.13,0.13,<,10,<,10,<,10
"July 23, 2011",0.11,0.11,0.11,,20,,20,,41
"July 22, 2011",0,0,0,<,2,,2,,12
"July 21, 2011",0,0,0,,4,,2,<,2
"July 20, 2011",0,0,0,<,10,<,10,<,10
"July 19, 2011",0,0,0,,31,<,10,,85
"July 18, 2011",0,0,0,,10,<,10,<,10
"July 17, 2011",0,0,0,<,10,,10,<,10
"July 16, 2011",0,0,0.72,,31,,20,<,10
"July 15, 2011",0,0.72,1.17,,38,,22,,4
"July 14, 2011",0.72,1.17,1.17,,17,,35,,25
"July 13, 2011",0.45,0.45,0.45,,10,<,10,<,10
"July 12, 2011",0,0,0,<,10,,20,,10
"July 11, 2011",0,0,0.12,<,10,,10,<,10
"July 10, 2011",0,0.12,0.41,,10,<,10,,10
"July 9, 2011",0.12,0.41,0.41,<,10,<,10,<,10
"July 8, 2011",0.29,0.29,0.29,<,2,<,2,,27
"July 7, 2011",0,0,0,,2,,2,<,2
"July 6, 2011",0,0,0,<,10,<,10,<,10
"July 5, 2011",0,0,0.03,<,10,,20,<,10
"July 4, 2011",0,0.03,0.03,,31,,31,,20
"July 3, 2011",0.03,0.03,0.03,<,10,<,10,,20
"July 2, 2011",0,0,0,<,10,<,10,<,10
"July 1, 2011",0,0,0.18,<,2,<,2,,4
"June 30, 2011",0,0.18,0.18,,32,,75,,438
"June 29, 2011",0.18,0.18,0.18,,10,,31,<,10
"June 28, 2011",0,0,0,,95,,10,,10
"June 27, 2011",0,0,0.27,<,10,<,10,<,10
"June 26, 2011",0,0.27,0.28,,201,,243,,121
"June 25, 2011",0.27,0.28,0.45,,30,<,10,,10
"June 24, 2011",0.01,0.18,2,,269,,292,,323
"June 23, 2011",0.17,1.99,1.99,,1230,,1400,,1100
"June 16, 2011",0,0,0.04,,2,,2,<,2
"June 9, 2011",0.51,0.51,0.51,,12,,10,,17
"June 2, 2011",0,0.56,0.56,,12,,8,,8
"May 26, 2011",0,0,0.17,<,2,,2,,6
"September 2, 2010",0,0,0,,2,,6,,2
"September 1, 2010",0,0,0,,10,,10,<,10
"August 31, 2010",0,0,0,,41,<,10,<,10
"August 30, 2010",0,0,0,,74,<,10,,20
"August 29, 2010",0,0,0,,185,<,10,,10
"August 28, 2010",0,0,0,<,10,<,10,,20
"August 27, 2010",0,0,2.76,<,2,,6,,2
"August 26, 2010",0,2.76,3.54,,25,,13,,17
"August 25, 2010",2.76,3.54,4.24,,272,,98,,1240
"August 24, 2010",0.78,1.48,1.72,,108,<,10,,41
"August 23, 2010",0.7,0.94,0.94,,10,<,10,,10
"August 22, 2010",0.24,0.24,0.24,,31,,10,,41
"August 21, 2010",0,0,0,,31,,20,,20
"August 20, 2010",0,0,0,,2,,2,,2
"August 19, 2010",0,0,0,,17,,17,,15
"August 18, 2010",0,0,0.21,<,10,<,10,,10
"August 17, 2010",0,0.21,0.21,,20,<,10,<,10
"August 16, 2010",0.21,0.21,0.21,,759,,121,,74
"August 15, 2010",0,0,0,<,10,<,10,,160
"August 14, 2010",0,0,0,<,10,,31,<,10
"August 13, 2010",0,0,0,,2,<,2,<,2
"August 12, 2010",0,0,0.07,,4,,8,,10
"August 11, 2010",0,0.07,0.07,,52,,20,,10
"August 10, 2010",0.07,0.07,0.07,<,10,,63,,10
"August 9, 2010",0,0,0,,10,,52,,20
"August 8, 2010",0,0,0,,20,,41,<,10
"August 7, 2010",0,0,0.99,,86,,20,<,10
"August 6, 2010",0,0.99,0.99,,41,,56,,10
"August 5, 2010",0.99,0.99,0.99,,8,,15,,8
"August 4, 2010",0,0,0,<,10,<,10,<,10
"August 3, 2010",0,0,0,,20,<,10,,20
"August 2, 2010",0,0,0,<,10,<,10,<,10
"August 1, 2010",0,0,0,<,10,<,10,<,10
"July 31, 2010",0,0,0.04,,10,<,10,,10
"July 30, 2010",0,0.04,0.04,,2,<,2,<,2
"July 29, 2010",0.04,0.04,0.04,<,2,<,2,,2
"July 28, 2010",0,0,0,<,10,,10,<,10
"July 27, 2010",0,0,0,<,10,<,10,<,10
"July 26, 2010",0,0,0,<,10,<,10,<,10
"July 25, 2010",0,0,0.49,<,10,<,10,,10
"July 24, 2010",0,0.49,0.49,,41,,30,,31
"July 23, 2010",0.49,0.49,0.54,,6,,4,<,2
"July 22, 2010",0,0.05,0.05,,2,,2,,2
"July 21, 2010",0.05,0.05,0.05,<,10,<,10,<,10
"July 20, 2010",0,0,0,<,10,<,10,,10
"July 19, 2010",0,0,0,<,10,<,10,<,10
"July 18, 2010",0,0,0.02,<,10,<,10,<,10
"July 17, 2010",0,0.02,0.02,<,10,<,10,,10
"July 16, 2010",0.02,0.02,0.13,,15,,13,,54
"July 15, 2010",0,0.11,0.15,,2,,4,<,2
"July 14, 2010",0.11,0.15,0.4,,31,,10,,52
"July 13, 2010",0.04,0.29,0.3,,298,,41,<,10
"July 12, 2010",0.25,0.26,1.91,<,10,,10,,20
"July 11, 2010",0.01,1.66,1.66,,30,,10,,10
"July 10, 2010",1.65,1.65,1.65,<,10,<,10,<,10
"July 9, 2010",0,0,0,,10,,6,,2
"July 8, 2010",0,0,0,,4,,8,,12
"July 7, 2010",0,0,0,<,10,<,10,<,10
"July 6, 2010",0,0,0,<,10,,10,<,10
"July 5, 2010",0,0,0,<,10,<,10,,10
"July 4, 2010",0,0,0,<,10,,10,<,10
"July 3, 2010",0,0,0,<,10,<,10,<,10
"July 2, 2010",0,0,0,,2,,2,<,2
"July 1, 2010",0,0,0,<,2,,2,<,2
"June 30, 2010",0,0,0,<,10,<,10,,40
"June 29, 2010",0,0,0,<,10,<,10,<,10
"June 28, 2010",0,0,0,,10,<,10,<,10
"June 27, 2010",0,0,0,<,10,,10,<,10
"June 26, 2010",0,0,0.05,<,10,<,10,<,10
"June 25, 2010",0,0.05,0.11,<,2,,4,,4
"June 24, 2010",0.05,0.11,0.11,,6,,52,<,2
"June 23, 2010",0.06,0.06,0.06,<,10,,10,<,10
"June 22, 2010",0,0,0.16,<,10,,10,,10
"June 21, 2010",0,0.16,0.16,,10,<,10,<,10
"June 20, 2010",0.16,0.16,0.16,,31,<,10,<,10
"June 19, 2010",0,0,0,,10,<,10,,10
"June 18, 2010",0,0,0.02,,2,,2,,2
"June 17, 2010",0,0.02,0.02,,8,,13,,30
"June 10, 2010",0.1,0.14,0.14,,10,,8,,10
"June 7, 2010",0,0.71,1.42,,12,,25,,12
"June 3, 2010",0.7,0.7,1.13,,18,<,2,,2
"May 27, 2010",0.05,0.11,0.11,,2,,2,,10
"September 5, 2009",0,0,0,<,10,,10,<,10
"September 4, 2009",0,0,0,,2,,2,<,2
"September 3, 2009",0,0,0,<,2,<,2,<,2
"September 2, 2009",0,0,0,,85,,97,,41
"September 1, 2009",0,0,0,,20,,63,<,10
"August 31, 2009",0,0,1.65,,20,<,10,,30
"August 30, 2009",0,1.65,1.74,,399,,299,,259
"August 28, 2009",0.09,0.09,0.09,,8,,4,,2
"August 27, 2009",0,0,0,,2,,4,,2
"August 26, 2009",0,0,0.77,<,10,<,10,<,10
"August 25, 2009",0,0.77,0.9,<,10,,10,,355
"August 24, 2009",0.77,0.9,1.07,<,10,<,10,,10
"August 23, 2009",0.13,0.3,0.3,<,10,<,10,,10
"August 22, 2009",0.17,0.17,0.45,,52,,10,<,10
"August 21, 2009",0,0.28,0.28,,28,,4,,10
"August 20, 2009",0.28,0.28,0.28,,370,,340,,240
"August 19, 2009",0,0,0,,776,,323,,213
"August 18, 2009",0,0,0,<,10,<,10,,31
"August 17, 2009",0,0,0,<,10,<,10,<,10
"August 16, 2009",0,0,0,,20,,41,,10
"August 15, 2009",0,0,0.09,,20,<,10,<,10
"August 14, 2009",0,0.09,0.09,,6,,2,<,2
"August 13, 2009",0.09,0.09,0.14,,43,,37,,20
"August 12, 2009",0,0.05,0.06,<,10,,10,,20
"August 11, 2009",0.05,0.06,0.06,,20,,10,<,10
"August 10, 2009",0.01,0.01,0.01,,63,,10,,20
"August 9, 2009",0,0,0,,51,<,10,<,10
"August 8, 2009",0,0,0,<,10,,31,<,10
"August 7, 2009",0,0,0,<,2,,4,,4
"August 6, 2009",0,0,0,<,2,,2,,2
"August 5, 2009",0,0,0,<,10,,20,<,10
"August 4, 2009",0,0,0,<,10,<,10,<,10
"August 3, 2009",0,0,0,,20,,20,<,10
"August 2, 2009",0,0,0.44,<,10,<,10,<,10
"August 1, 2009",0,0.44,0.95,<,10,<,10,,10
"July 31, 2009",0.44,0.95,0.95,,2,,4,,6
"July 30, 2009",0.51,0.51,0.51,,8,,2,,6
"July 29, 2009",0,0,0,,10,<,10,<,10
"July 28, 2009",0,0,0.02,<,10,,10,<,10
"July 27, 2009",0,0.02,0.02,,63,,52,,95
"July 26, 2009",0.02,0.02,1.95,,231,,216,,86
"July 25, 2009",0,1.93,2.36,<,10,,10,,10
"July 24, 2009",1.93,2.36,2.36,,220,,350,,200
"July 23, 2009",0.43,0.43,0.95,,17,,13,,40
"July 22, 2009",0,0.52,0.52,<,10,,10,<,10
"July 21, 2009",0.52,0.52,0.52,,30,,20,,41
"July 20, 2009",0,0,0.24,,41,<,10,,63
"July 19, 2009",0,0.24,0.24,,10,,63,<,10
"July 18, 2009",0.24,0.24,0.24,,20,,10,,52
"July 17, 2009",0,0,0,,2,<,2,<,2
"July 16, 2009",0,0,0,,47,,76,,83
"July 15, 2009",0,0,0,<,10,,10,<,10
"July 14, 2009",0,0,0.28,<,10,<,10,<,10
"July 13, 2009",0,0.28,0.64,<,10,<,10,<,10
"July 12, 2009",0.28,0.64,0.64,,488,,74,,52
"July 11, 2009",0.36,0.36,0.36,,110,<,10,<,10
"July 10, 2009",0,0,0.02,,4,<,2,<,2
"July 9, 2009",0,0.02,0.71,<,2,<,2,,4
"July 8, 2009",0.02,0.71,0.71,,20,,52,,10
"July 7, 2009",0.69,0.69,0.69,,63,,41,,72
"July 6, 2009",0,0,0,,20,,10,,10
"July 5, 2009",0,0,0,<,10,,52,,10
"July 4, 2009",0,0,0.85,<,10,,10,<,10
"July 3, 2009",0,0.85,1.46,,13,,18,,25
"July 2, 2009",0.85,1.46,1.53,,480,,580,,515
"July 1, 2009",0.61,0.68,1.13,<,10,<,10,<,10
"June 30, 2009",0.07,0.52,0.55,,41,,132,,41
"June 29, 2009",0.45,0.48,0.48,,6870,,9210,,345
"June 28, 2009",0.03,0.03,0.06,,20,,10,,10
"June 27, 2009",0,0.03,0.08,,185,<,10,<,10
"June 26, 2009",0.03,0.08,0.22,,2,<,2,,2
"June 25, 2009",0.05,0.19,0.21,<,2,,8,<,2
"June 24, 2009",0.14,0.16,0.55,,464,<,10,<,10
"June 23, 2009",0.02,0.41,0.45,,63,,10,,20
"June 22, 2009",0.39,0.43,0.43,,364,,359,<,10
"June 21, 2009",0.04,0.04,0.54,,10,,10,<,10
"June 20, 2009",0,0.5,0.93,<,10,,31,<,10
"June 19, 2009",0.5,0.93,0.93,,730,,273,,342
"June 18, 2009",0.43,0.43,0.43,,17,,10,,2
"June 11, 2009",0.2,0.2,0.3,,4,,18,,2
"June 4, 2009",0,0,0,<,2,,4,,2
"May 29, 2009",0.13,0.13,0.29,,51,,97,,12
"May 21, 2009",0,0,0,,2,,2,<,2
"August 31, 2008",0,0,0,,20,,148,,85
"August 30, 2008",0,0,0,,41,,86,,84
"August 29, 2008",0,0,0,,18,,22,,6
"August 28, 2008",0,0,0,,132,,73,,8
"August 27, 2008",0,0,0,,31,,63,,10
"August 26, 2008",0,0,0,,132,,10,,10
"August 25, 2008",0,0,0,<,10,<,10,<,10
"August 24, 2008",0,0,0,<,10,<,10,,63
"August 23, 2008",0,0,0,<,10,<,10,<,10
"August 22, 2008",0,0,0,<,2,<,2,<,2
"August 21, 2008",0,0,0.01,<,2,<,2,<,2
"August 20, 2008",0,0.01,0.01,,41,,10,,20
"August 19, 2008",0.01,0.01,0.01,,10,<,10,<,10
"August 18, 2008",0,0,0,<,10,,10,<,10
"August 17, 2008",0,0,0.35,<,10,,10,,31
"August 16, 2008",0,0.35,0.44,<,10,<,10,<,10
"August 15, 2008",0.35,0.44,0.44,,10,,8,,2
"August 14, 2008",0.09,0.09,0.19,,18,,110,,8
"August 13, 2008",0,0.1,0.16,<,10,<,10,,10
"August 12, 2008",0.1,0.16,1.41,<,10,,31,,145
"August 11, 2008",0.06,1.31,1.31,<,10,<,10,<,10
"August 10, 2008",1.25,1.25,2.56,,20,<,10,<,10
"August 9, 2008",0,1.31,1.45,<,10,,291,,20
"August 8, 2008",1.31,1.45,1.73,,2930,,1670,,1630
"August 7, 2008",0.14,0.42,0.42,,13,,18,,46
"August 6, 2008",0.28,0.28,0.28,,52,<,10,,10
"August 5, 2008",0,0,0.33,<,10,<,10,,10
"August 4, 2008",0,0.33,0.88,,85,,41,,63
"August 3, 2008",0.33,0.88,0.88,<,10,,10,<,10
"August 2, 2008",0.55,0.55,0.59,<,10,<,10,<,10
"August 1, 2008",0,0.04,0.04,,32,<,2,,2
"July 31, 2008",0.04,0.04,0.04,,28,,51,,18
"July 30, 2008",0,0,0,<,10,,20,<,10
"July 29, 2008",0,0,0.19,,10,<,10,,10
"July 28, 2008",0,0.19,0.19,<,10,<,10,,10
"July 27, 2008",0.19,0.19,0.19,<,10,<,10,<,10
"July 26, 2008",0,0,2.16,,10,<,10,,20
"July 25, 2008",0,2.16,2.82,,1820,,2460,,664
"July 24, 2008",2.16,2.82,3.07,,1700,,1800,,730
"July 23, 2008",0.66,0.91,1.05,<,10,<,10,<,10
"July 22, 2008",0.25,0.39,1.54,<,10,,10,<,10
"July 21, 2008",0.14,1.29,1.29,,31,,52,,63
"July 20, 2008",1.15,1.15,1.28,<,10,<,10,<,10
"July 19, 2008",0,0.13,0.13,,97,<,10,<,10
"July 18, 2008",0.13,0.13,0.13,,8,,17,<,2
"July 17, 2008",0,0,0,,2,<,2,,8
"July 16, 2008",0,0,0.07,<,10,,31,,10
"July 15, 2008",0,0.07,0.07,,10,,10,<,10
"July 14, 2008",0.07,0.07,0.07,<,10,,10,<,10
"July 13, 2008",0,0,0,<,10,<,10,<,10
"July 12, 2008",0,0,0.01,<,10,<,10,<,10
"July 11, 2008",0,0.01,0.05,,10,,27,,13
"July 10, 2008",0.01,0.05,0.05,<,2,<,2,<,2
"July 9, 2008",0.04,0.04,0.04,<,10,<,10,<,10
"July 8, 2008",0,0,0,<,10,,10,<,10
"July 7, 2008",0,0,0.01,,20,<,10,<,10
"July 6, 2008",0,0.01,0.21,<,10,,10,<,10
"July 5, 2008",0.01,0.21,0.33,<,10,<,10,,20
"July 4, 2008",0.2,0.32,0.98,,2530,,2780,,930
"July 3, 2008",0.12,0.78,0.95,,27,,102,,723
"June 30, 2008",0,0,0,<,10,<,10,<,10
"June 29, 2008",0,0,0.66,<,10,,10,<,10
"June 28, 2008",0,0.66,0.66,,31,,31,,98
"June 27, 2008",0.66,0.66,0.66,,6,,6,<,2
"June 26, 2008",0,0,0.78,,79,,44,,51
"June 25, 2008",0,0.78,1.24,,52,,63,,20
"June 24, 2008",0.78,1.24,1.24,,30,,399,,335
"June 23, 2008",0.46,0.46,0.46,,10,<,10,<,10
"June 22, 2008",0,0,0.03,<,10,,10,<,10
"June 21, 2008",0,0.03,0.03,,10,<,10,<,10
"June 20, 2008",0.03,0.03,0.03,,2,<,2,<,2
"June 19, 2008",0,0,0,<,2,,4,,10
"June 12, 2008",0,0,0,,4,,2,,6
"June 4, 2008",0.56,0.56,0.56,,12,,12,,40
"May 28, 2008",0,0.99,0.99,,13,,12,,13
"May 22, 2008",0.33,0.33,0.33,<,2,<,2,<,2
"August 31, 2007",0.01,0.01,0.01,,12,,4,,10
"August 30, 2007",0,0,0,,27,,33,<,2
"August 29, 2007",0,0,0,,10,<,10,<,10
"August 28, 2007",0,0,0,,10,,20,<,10
"August 27, 2007",0,0,0,,30,,10,,10
"August 26, 2007",0,0,0,<,10,<,10,<,10
"August 25, 2007",0,0,0,<,10,,31,,20
"August 24, 2007",0,0,0,,12,,6,<,2
"August 23, 2007",0,0,0,<,2,<,2,,4
"August 22, 2007",0,0,0,<,10,<,10,<,10
"August 21, 2007",0,0,0,<,10,<,10,<,10
"August 20, 2007",0,0,0.04,<,10,<,10,<,10
"August 19, 2007",0,0.04,0.04,,10,<,10,,10
"August 18, 2007",0.04,0.04,0.04,<,10,<,10,<,10
"August 17, 2007",0,0,0,,8,,8,,2
"August 16, 2007",0,0,0,<,2,,8,<,2
"August 15, 2007",0,0,0,<,10,,10,<,10
"August 14, 2007",0,0,0,<,10,,20,<,10
"August 13, 2007",0,0,0,,20,<,10,<,10
"August 12, 2007",0,0,0.09,<,10,,10,<,10
"August 11, 2007",0,0.09,0.09,<,10,<,10,,10
"August 10, 2007",0.09,0.09,0.37,,7,,4,,2
"August 9, 2007",0,0.28,0.28,<,2,,2,,2
"August 8, 2007",0.28,0.28,0.52,,10,,62,,20
"August 7, 2007",0,0.24,0.24,,31,,10,<,10
"August 6, 2007",0.24,0.24,0.24,<,10,<,10,<,10
"August 5, 2007",0,0,0,,10,,10,,10
"August 4, 2007",0,0,0,<,10,<,10,<,10
"August 3, 2007",0,0,0,,4,,59,,12
"August 2, 2007",0,0,0,,6,,30,,20
"August 1, 2007",0,0,1.72,<,10,,20,,10
"July 31, 2007",0,1.72,1.72,,20,,20,,10
"July 30, 2007",1.72,1.72,4.04,,63,,41,,20
"July 29, 2007",0,2.32,2.32,,521,,496,,350
"July 28, 2007",2.32,2.32,2.32,<,10,,41,,10
"July 27, 2007",0,0,0,,4,,4,,4
"July 26, 2007",0,0,0,,15,,2,,4
"July 25, 2007",0,0,0.06,<,10,<,10,,10
"July 24, 2007",0,0.06,0.06,<,10,<,10,<,10
"July 23, 2007",0.06,0.06,0.06,<,10,<,10,<,10
"July 22, 2007",0,0,0.01,,31,<,10,<,10
"July 21, 2007",0,0.01,0.12,<,10,<,10,,20
"July 20, 2007",0.01,0.12,0.29,,8,,8,,6
"July 19, 2007",0.11,0.28,0.28,,12,,8,,2
"July 18, 2007",0.17,0.17,0.17,<,10,<,10,<,10
"July 17, 2007",0,0,0,<,10,<,10,<,10
"July 16, 2007",0,0,0,<,10,,10,<,10
"July 15, 2007",0,0,0,<,10,,20,,30
"July 14, 2007",0,0,0.05,<,10,<,10,,20
"July 13, 2007",0,0.05,0.05,,16,,2,,2
"July 12, 2007",0.05,0.05,0.05,,17,,4,,6
"July 11, 2007",0,0,0.23,,10,,52,<,10
"July 10, 2007",0,0.23,0.25,<,10,<,10,,10
"July 9, 2007",0.23,0.25,0.25,,10,,1190,,10
"July 8, 2007",0.02,0.02,0.02,<,10,<,10,<,10
"July 7, 2007",0,0,0.31,<,10,<,10,<,10
"July 6, 2007",0,0.31,0.36,,4,,4,,4
"July 5, 2007",0.31,0.36,0.36,,570,,12,,8
"July 4, 2007",0.05,0.05,0.05,,10,,10,<,10
