"Carson Beach, South Boston: Bacterial Water Quality",,,,,,,
,,,,I Street,,McCormack Bathhouse,
"June 28, 2001",0,0,0,,4,,4
"June 27, 2001",0,0,0,,40,<,10
"June 26, 2001",0,0,0.04,<,10,<,10
"June 25, 2001",0,0.04,0.46,,20,,120
"June 24, 2001",0.04,0.46,0.46,,1330,,20
"June 23, 2001",0.42,0.42,0.42,,890,,110
"June 22, 2001",0,0,0.32,,90,,730
"June 21, 2001",0,0.32,0.32,,6,,1150
"June 14, 2001",0,0,0.12,,2,,4
"June 7, 2001",0,0,0,<,2,,6
"May 31, 2001",0,0.01,0.01,,2,,30
"May 24, 2001",0.34,0.37,0.86,,4,,4
